RA[deg] Ê Ê Ê,Dec[deg] Ê
149.087,-35.114
119.12,21.882
25.066,-2.835
40.222,-48.504
292.895,-43.635
44.327,-7.673
93.561,-48.962
317.697,-52.505
212.02,-37.972
333.545,-54.726
102.489,-24.174
41.754,-86.661
163.995,-55.2
213.262,-50.914
308.62,-43.201
9.474,51.089
254.231,-38.823
144.028,-12.47
341.519,-8.82
234.095,-2.792
266.15,-1.807
278.136,-28.298
94.197,-52.328
197.42,23.887
110.553,-10.565
259.422,-6.142
248.086,73.976
311.165,-10.544
257.213,64.476
88.116,30.506
258.293,-43.809
327.015,15.941
26.573,-46.629
212.01,34.991
247.398,-1.344
270.07,-5.47
234.493,-22.343
46.657,-2.014
142.497,-11.338
144.476,35.825
208.562,-19.541
284.992,68.323
118.312,-14.391
63.026,-21.17
38.278,3.055
103.506,19.78
191.901,68.092
234.955,-54.68
13.259,33.218
221.132,5.065
219.792,32.522
219.818,-34.789
7.434,-47.753
25.765,-4.9
311.255,-16.511
310.65,13.002
202.205,55.595
254.934,4.121
176.587,-13.682
160.647,32.011
166.911,-81.183
132.116,-7.638
120.05,-38.191
155.153,54.355
303.94,-46.606
97.448,-20.377
127.875,-27.413
51.087,-18.253
224.368,3.265
108.909,17.577
239.672,-80.311
258.879,-37.492
25.327,-12.186
297.14,-29.203
222.287,-0.458
269.076,48.132
215.663,22.601
218.696,-19.463
223.972,-43.963
232.299,-25.45
273.141,-79.633
84.106,28.692
14.871,-15.417
268.822,52.091
55.21,20.215
6.491,-71.367
278.501,-18.311
145.536,5.539
84.74,20.762
178.564,-19.238
136.275,-38.687
318.553,-53.861
101.716,6.294
44.755,79.873
240.318,-33.98
190.154,-61.978
148.608,-6.546
195.931,-44.365
146.09,-39.827
116.863,-52.462
17.736,4.758
95.114,-18.281
66.29,-50.458
131.093,-33.715
27.412,44.99
127.069,-10.355
44.275,-19.955
173.296,-6.959
349.392,-1.5
143.03,-19.418
267.013,-0.191
330.381,20.299
296.177,-50.471
200.012,-27.319
269.721,-2.86
51.421,-10.941
144.165,-63.472
319.85,38.068
36.959,24.846
229.261,-9.25
29.043,31.475
187.977,-6.313
308.613,-13.777
321.12,20.407
21.45,-56.373
267.193,13.427
254.323,-24.856
230.453,-34.752
331.785,5.981
160.195,-21.586
189.616,-7.858
52.694,-70.288
198.15,59.157
292.771,-37.671
159.074,-10.021
13.451,-14.471
257.871,12.037
62.212,60.692
247.97,-72.852
28.632,60.636
75.994,-39.447
349.695,-65.687
117.116,-6.576
168.384,52.922
89.513,48.315
257.995,-55.277
